,Unnamed: 0,user_id,condnum,iso_time,prolific_id,gender,age,nationality,education,experience,eating_habits,goal,restrictions,american,european,other_continent
140,161,1315272308849,3,2021-03-21T13:26:55.163Z,,female,42,American,4,cmedium,neutral,"salt,vegetables",none,American,0,0
141,162,418192750762,3,2021-03-21T13:27:21.057Z,,female,71,American,4,chigh,healthy,"fruit,vegetables,lweight","vegan,vegan",American,0,0
142,163,482054328141,3,2021-03-21T13:32:05.440Z,,male,26,American,3,chigh,healthy,lweight,none,American,0,0
143,164,537907129081,3,2021-03-21T13:33:33.910Z,,male,33,American,4,clow,unhealthy,lweight,none,American,0,0
144,167,931485373522,3,2021-03-21T13:44:35.413Z,,female,51,American,3,cmedium,unhealthy,lweight,none,American,0,0
145,168,672013981652,3,2021-03-21T13:45:07.241Z,,male,30,American,2,clow,healthy,lweight,none,American,0,0
146,169,910833838754,3,2021-03-21T13:42:19.239Z,,male,31,American,4,chigh,healthy,"protein,fruit",halal,American,0,0
147,171,1607900665823,3,2021-03-21T13:54:42.373Z,,male,73,American,5,cmedium,neutral,none,none,American,0,0
148,172,339750980094,3,2021-03-21T13:57:56.265Z,,male,34,American,3,chigh,healthy,"protein,fruit,vegetables,lweight",none,American,0,0
149,173,955723873464,3,2021-03-21T13:59:41.238Z,,female,32,American,3,cmedium,neutral,lweight,none,American,0,0
150,174,1545193114476,3,2021-03-21T14:02:34.296Z,,female,41,American,4,clow,healthy,"vegetables,lweight","vegan,Vegan",American,0,0
151,175,599299261392,3,2021-03-21T14:05:15.287Z,,female,58,American,2,chigh,healthy,"fruit,vegetables",none,American,0,0
152,176,852293701007,3,2021-03-21T14:10:52.965Z,,male,33,American,3,cmedium,healthy,lweight,,American,0,0
153,179,1116149946103,3,2021-03-21T14:13:22.095Z,,male,36,American,4,cmedium,neutral,lweight,none,American,0,0
154,180,92045837713,3,2021-03-21T14:15:24.334Z,,male,33,American,3,cmedium,healthy,vegetables,pescatarian,American,0,0
155,181,977093065471,3,2021-03-21T14:16:11.039Z,,female,57,American,2,cveryhigh,healthy,none,none,American,0,0
156,182,1311421776830,3,2021-03-21T14:16:40.475Z,,female,68,American,3,cveryhigh,healthy,"salt,fruit,vegetables",none,American,0,0
157,183,916240914145,3,2021-03-21T14:18:16.422Z,,female,24,American,3,chigh,healthy,"protein,gweight",none,American,0,0
158,184,1519145572245,3,2021-03-21T14:20:16.770Z,,female,37,American,3,cmedium,unhealthy,none,none,American,0,0
159,185,1399821921268,3,2021-03-21T14:21:56.629Z,,female,27,American,3,chigh,healthy,none,none,American,0,0
160,186,680339175378,3,2021-03-21T14:21:52.726Z,,male,55,American,4,clow,healthy,protein,none,American,0,0
161,187,372213442414,3,2021-03-21T14:20:57.149Z,,female,58,American,3,chigh,healthy,none,none,American,0,0
162,188,587288764478,3,2021-03-21T14:25:34.027Z,,male,25,American,3,cmedium,healthy,lweight,none,American,0,0
163,189,1386597915005,3,2021-03-21T14:26:07.367Z,,female,35,American,2,cmedium,healthy,none,none,American,0,0
164,190,185883953706,3,2021-03-21T14:28:44.070Z,,female,34,American,3,cmedium,healthy,"protein,lweight",none,American,0,0
165,191,123529049247,3,2021-03-21T14:30:57.847Z,,male,57,American,2,cmedium,neutral,none,none,American,0,0
166,192,1139152025857,3,2021-03-21T14:32:29.566Z,,female,43,American,2,chigh,neutral,"fruit,vegetables",none,American,0,0
167,194,1100305828564,3,2021-03-21T14:36:32.787Z,,female,28,American,2,clow,neutral,lweight,none,American,0,0
168,195,1049122298494,3,2021-03-21T14:36:47.352Z,,male,42,American,3,chigh,neutral,protein,none,American,0,0
169,196,1308285621206,3,2021-03-21T14:36:53.472Z,,female,22,American,3,cverylow,neutral,gweight,none,American,0,0
170,197,1127994065854,3,2021-03-21T14:37:20.960Z,,male,67,American,2,cmedium,healthy,"vegetables,lweight",none,American,0,0
171,198,601573627006,3,2021-03-21T14:37:29.824Z,,female,54,USA,3,cveryhigh,healthy,"protein,salt,fruit,vegetables,lweight",,0,0,Other
172,199,811709142686,3,2021-03-21T14:39:17.162Z,,female,26,American,4,cmedium,neutral,lweight,none,American,0,0
173,200,30532281901,3,2021-03-21T14:43:08.776Z,,male,31,American,5,chigh,healthy,none,"allergies,allergy to shellfish",American,0,0
174,201,508677700685,3,2021-03-21T14:44:38.273Z,,female,50,American,4,cmedium,healthy,vegetables,none,American,0,0
175,202,610367863814,3,2021-03-21T14:46:50.807Z,,female,56,American,3,cmedium,healthy,none,none,American,0,0
176,203,824381092450,3,2021-03-21T14:50:29.389Z,,female,60,American,4,chigh,neutral,none,none,American,0,0
177,204,1534227517235,3,2021-03-21T14:51:57.114Z,,female,44,American,4,cmedium,healthy,none,none,American,0,0
178,205,644272261267,3,2021-03-21T14:52:58.978Z,,female,70,American,2,cmedium,healthy,"salt,fruit",none,American,0,0
179,206,173378923750,3,2021-03-21T14:53:54.462Z,,female,65,American,4,cmedium,healthy,lweight,none,American,0,0
180,207,987388883613,3,2021-03-21T14:54:59.431Z,,male,39,American,5,cmedium,healthy,none,none,American,0,0
181,208,94383185667,3,2021-03-21T14:58:21.168Z,,female,65,American,2,chigh,healthy,none,none,American,0,0
182,209,414451327792,3,2021-03-21T15:01:42.415Z,,male,38,American,3,cmedium,unhealthy,lweight,gluten,American,0,0
183,210,466208438290,3,2021-03-21T15:02:45.515Z,,male,48,American,4,cmedium,neutral,none,none,American,0,0
184,211,1329612265541,3,2021-03-21T15:03:39.233Z,,female,41,American,3,chigh,healthy,lweight,lactose,American,0,0
185,212,778097924161,3,2021-03-21T15:04:21.713Z,,male,54,American,3,cmedium,healthy,"protein,salt,lweight",none,American,0,0
