,Unnamed: 0,user_id,condnum,iso_time,prolific_id,gender,age,nationality,education,experience,eating_habits,goal,restrictions,american,european,other_continent
0,1,1078315984032,1,2021-03-13T12:59:54.264Z,5e6ff19e7e1daa5be5a93ca8,male,28,Danish,2,cmedium,unhealthy,lweight,lactose,0,European,0
1,2,764535965398,1,2021-03-13T12:59:45.870Z,5d824ca977546f00016ae679,female,24,Greek,4,clow,healthy,none,none,0,European,0
2,3,1020568010229,1,2021-03-13T13:00:09.679Z,5ef60100939d49285b4c2003,male,21,Polish,2,clow,neutral,none,none,0,European,0
3,4,748097854855,1,2021-03-13T13:00:52.973Z,5af276d65847970001e34e6b,male,27,Malaysia,3,cmedium,neutral,"vegetables,lweight",halal,0,0,Other
4,5,431442209654,1,2021-03-13T13:00:36.386Z,5eff3653359bc6470872a43c,female,18,UK,2,cmedium,neutral,"fruit,vegetables,lweight",halal,0,European,0
5,6,1473506848848,1,2021-03-13T13:01:09.081Z,5cbb779ffb8dfe0015839672,male,20,Greek,2,clow,healthy,none,none,0,European,0
6,7,787885611013,1,2021-03-13T13:00:35.022Z,5ecac14db64f3909cfa8859c,male,25,Polish,2,cmedium,neutral,"protein,salt,fruit",lactose,0,European,0
7,8,358237710882,1,2021-03-13T13:01:35.548Z,5cc2df4998766700177a499d,male,51,UK,2,chigh,healthy,none,none,0,European,0
8,9,730444155212,1,2021-03-13T13:01:16.402Z,5ef9f14f182b9b072857418d,female,40,Hellenic,4,cmedium,neutral,"salt,fruit,vegetables,lweight",Flexitarian,0,European,0
9,10,1049428083485,1,2021-03-13T13:02:00.054Z,5e96d12c9bf3f115b43835a4,female,28,Spanish,4,clow,neutral,none,none,0,European,0
10,11,1324026716892,1,2021-03-13T13:02:19.404Z,5f3fb86b92000703ec0238a8,male,28,UK,4,cmedium,unhealthy,"vegetables,lweight",none,0,European,0
11,12,798232892464,1,2021-03-13T13:01:59.096Z,5e7c11c7669042254fbe3e22,female,22,Portuguese,3,cmedium,neutral,none,none,0,European,0
12,13,165280096782,1,2021-03-13T13:01:58.972Z,5fb92279d753c635c19d0eb6,female,22,south african,3,cmedium,unhealthy,"salt,fruit,vegetables,gweight",halal,0,0,Other
13,14,39990860072,1,2021-03-13T13:02:18.609Z,5e67444ca2235c4c1ad10d1a,male,40,greek,4,cmedium,healthy,lweight,none,0,European,0
14,15,798943750451,1,2021-03-13T13:02:12.998Z,5bb475b2481b9100010f436a,female,37,UK,3,cmedium,neutral,"protein,fruit,vegetables,lweight",vegan,0,European,0
