session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Diet Restriction,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
604cf4d9c797bf3a4b323531,5ac9c4415cd1050001626162,AWAITING REVIEW,2021-03-13 17:22:33.927000,2021-03-13 17:30:11.978000,458.051,31,336,6,96,,866C1F68,Mexico,Mexico,Dairy/lactose-free,Full-Time,Spanish,"Spanish, English",Mexico,Male,No
604cf4e5bae3a40db5fa2708,5bdc4f6a3c0f810001abb90e,AWAITING REVIEW,2021-03-13 17:22:45.826000,2021-03-13 17:34:14.302000,688.476,25,35,0,100,,866C1F68,Italy,Italy,None,Unemployed (and job seeking),Italian,"Italian, English",Italy,Male,Yes
604cf4eed153c188bfa0be7d,5eb80b0e8d5a240519406f02,AWAITING REVIEW,2021-03-13 17:22:57.024000,2021-03-13 17:30:31.069000,454.045,30,28,0,100,,866C1F68,Poland,Poland,None,Full-Time,Polish,"English, Polish",Poland,Male,Yes
604cf4f281df5d3d9520ca93,5f0739f481cd430f8ff79608,AWAITING REVIEW,2021-03-13 17:22:58.367000,2021-03-13 17:29:37.433000,399.066,22,17,0,100,,866C1F68,Sweden,Sweden,Vegan,Unemployed (and job seeking),Swedish,"Swedish, English",Sweden,Male,Yes
604cf4f68b016d57c635f311,5ff767b12e30bf422b3722d9,AWAITING REVIEW,2021-03-13 17:23:02.321000,2021-03-13 17:27:55.446000,293.125,25,27,0,100,,866C1F68,Spain,Spain,None,Full-Time,,"Catalan, English, Spanish",Spain,Male,No
604cf4f80abc0fe471eb1d65,5f6085189d9f7b026c8e635a,AWAITING REVIEW,2021-03-13 17:23:08.464000,2021-03-13 17:28:24.149000,315.685,26,44,1,99,,866C1F68,Poland,United Kingdom,None,Unemployed (and job seeking),DATA EXPIRED,"Polish, Spanish, English",Poland,Female,No
604cf500e253884410f057b2,601829114a6f8201fbc23287,AWAITING REVIEW,2021-03-13 17:23:12.332000,2021-03-13 17:29:05.274000,352.942,19,14,0,100,,866C1F68,United Kingdom,Poland,Vegetarian,Unemployed (and job seeking),,"English, German, Polish",Poland,Female,No
604cf50ffe5ae4326ce6888a,5e8b2f6aecf1c07e41c551be,AWAITING REVIEW,2021-03-13 17:23:27.047000,2021-03-13 17:28:34.441000,307.394,24,84,2,99,,866C1F68,Portugal,Portugal,None,Other,Portuguese,"Portuguese, English",Portugal,Male,Yes
604cf512ee36c0696ed65237,5daeef1127595a00157d30d3,AWAITING REVIEW,2021-03-13 17:23:35.160000,2021-03-13 17:31:03.984000,448.824,33,80,0,100,,866C1F68,Portugal,Portugal,None,Full-Time,Portuguese,"English, Portuguese",Portugal,Male,No
604cf514b60db76de4003143,5fba752247aaee7c0e68e6d0,AWAITING REVIEW,2021-03-13 17:23:34.746000,2021-03-13 17:28:44.872000,310.126,21,18,0,100,,866C1F68,Portugal,Portugal,Vegetarian,Other,,"Portuguese, English",Portugal,Female,Yes
604cf51a7b823a6e493fa96b,5e70c8ae4a860a0008edf420,AWAITING REVIEW,2021-03-13 17:23:46.815000,2021-03-13 17:30:18.487000,391.672,22,86,0,100,,866C1F68,Portugal,Portugal,None,Other,Portuguese,"English, Portuguese",Portugal,Female,Yes
604cf51b73b3f169895f66ee,5fa969f2b6ebc40f7f189f61,AWAITING REVIEW,2021-03-13 17:23:39.808000,2021-03-13 17:30:53.088000,433.28,20,11,0,100,,866C1F68,Poland,Poland,None,Other,DATA EXPIRED,"Polish, English",Poland,Male,Yes
604cf5249620cd490f096924,5e5e33730fa612000a1fa1f7,AWAITING REVIEW,2021-03-13 17:23:48.153000,2021-03-13 17:27:38.410000,230.257,20,64,3,94,,866C1F68,Portugal,Portugal,None,Unemployed (and job seeking),Portuguese,"English, Portuguese",Portugal,Male,Yes
604cf5253d1526b18a8011e7,5ea35bb82788e52de5e56b85,AWAITING REVIEW,2021-03-13 17:24:12.711000,2021-03-13 17:29:40.384000,327.673,29,173,1,100,,866C1F68,France,France,None,Full-Time,French,"English, French",France,Female,No
604cf5256abe6e5e9c0c43fe,5d8f1a95b0b5ba001599cd96,AWAITING REVIEW,2021-03-13 17:23:49.882000,2021-03-13 17:28:49.736000,299.854,21,12,0,100,,866C1F68,Poland,Poland,None,Unemployed (and job seeking),Polish,"English, Polish",Poland,Male,Yes
604cf52b73b3f169895f66ef,5ff1f745c274b366e099b4d8,AWAITING REVIEW,2021-03-13 17:24:14.671000,2021-03-13 17:32:43.407000,508.736,22,20,0,100,,866C1F68,Portugal,Portugal,None,Unemployed (and job seeking),,"English, French, German, Italian, Portuguese, Russian, Spanish",Portugal,Female,No
604cf535b53b0487225d1a17,5faa5122c3611f32c4bd1821,RETURNED,2021-03-13 17:24:05.915000,,4484.344251,18,31,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604cf535b93dba9f792de80d,5c56059aa469aa0001660cb6,AWAITING REVIEW,2021-03-13 17:24:05.282000,2021-03-13 17:52:28.142000,1702.86,34,375,1,100,,866C1F68,Poland,Poland,Sugar-free,Full-Time,Polish,"English, Polish, German",Poland,Female,No
604cf536aaa6e40563ea054a,60119a8bd146960ea1f6a5e2,AWAITING REVIEW,2021-03-13 17:24:12.585000,2021-03-13 17:31:46.376000,453.791,19,13,0,100,,866C1F68,Poland,Poland,None,Full-Time,,"Polish, English",Poland,Male,No
604cf537000c42b11dac82e2,5ff61f034368b817c12167d6,AWAITING REVIEW,2021-03-13 17:24:07.623000,2021-03-13 17:31:35.314000,447.691,30,22,1,97,,866C1F68,Myanmar,United Kingdom,Vegetarian,Full-Time,,"Burmese, Hindi, Nepali, English",Myanmar,Female,Yes
604cf5382d85e69504ce6690,5e183cd9373b8c118f1afe97,AWAITING REVIEW,2021-03-13 17:24:11.152000,2021-03-13 17:27:43.698000,212.546,47,41,1,100,,866C1F68,Italy,Italy,None,Unemployed (and job seeking),Italian,"English, German, Italian",Italy,Female,Yes
604cf5396801522e5e98966c,5c4b4004d0934d0001c3d17b,AWAITING REVIEW,2021-03-13 17:24:13.630000,2021-03-13 17:29:41.622000,327.992,38,155,4,98,,866C1F68,Portugal,Portugal,None,Full-Time,Portuguese,"Portuguese, English",Portugal,Female,No
604cf53a58af85d0ee1d204e,5be941580aa5b80001384d8c,AWAITING REVIEW,2021-03-13 17:24:10.540000,2021-03-13 17:30:16.015000,365.475,34,10,0,100,,866C1F68,Finland,Finland,None,Full-Time,,"English, Finnish",Finland,Male,No
604cf53bfdffbfdacbc97010,5f22ea5ece2fd801e81079b9,AWAITING REVIEW,2021-03-13 17:24:10.987000,2021-03-13 17:30:47.283000,396.296,24,63,0,100,,866C1F68,United Kingdom,France,None,Part-Time,English,"French, English",United Kingdom,Male,Yes
604cf53d03bad583254cb378,60416f304233791437bfac5b,AWAITING REVIEW,2021-03-13 17:24:21.943000,2021-03-13 17:32:41.461000,499.518,22,0,0,100,,866C1F68,Switzerland,Portugal,None,"Not in paid work (e.g. homemaker', 'retired or disabled)",,"English, French, Portuguese, Spanish",Portugal,Male,Yes
604cf53fb9b74112eb8bfc15,5f9699855237d2000cb00fcc,AWAITING REVIEW,2021-03-13 17:24:15.268000,2021-03-13 17:30:22.857000,367.589,21,49,0,100,,866C1F68,Italy,Poland,None,Unemployed (and job seeking),DATA EXPIRED,"Polish, English",Poland,Male,Yes
604cf54210fb8b8194fff86b,5f77475f5173b424b9746c28,AWAITING REVIEW,2021-03-13 17:24:18.311000,2021-03-13 17:31:02.478000,404.167,23,62,0,100,,866C1F68,Poland,Poland,None,Unemployed (and job seeking),DATA EXPIRED,"English, Polish",Poland,Male,Yes
604cf54311a0b1788f21c4c5,6037a0d84bcef502dd175635,AWAITING REVIEW,2021-03-13 17:24:22.937000,2021-03-13 17:51:15.445000,1612.508,32,5,0,100,,866C1F68,Slovenia,Austria,None,Full-Time,,"English, German, Slovenian",Slovenia,Female,No
604cf5447a6dced9d61d129e,5f2f31201649be31653dabc5,AWAITING REVIEW,2021-03-13 17:24:20.827000,2021-03-13 17:30:00.680000,339.853,37,79,0,100,,866C1F68,Mexico,Mexico,None,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,"Spanish, English",Mexico,Female,No
604cf546e7480e34f4841df9,5fdfde5bc92b368a2d8606dc,AWAITING REVIEW,2021-03-13 17:24:22.711000,2021-03-13 17:29:49.770000,327.059,21,16,0,100,,866C1F68,Portugal,Portugal,Dairy/lactose-free,Other,,"English, Portuguese",Portugal,Female,Yes
604cf54a1664dcbf00666df5,603dccb9ca68cfcc9924e86c,AWAITING REVIEW,2021-03-13 17:29:40.042000,2021-03-13 17:35:59.300000,379.258,21,5,0,100,,866C1F68,Greece,Greece,None,Full-Time,,"English, Greek, Spanish",Greece,Female,Yes
604cf54d377ed857448c7030,60147744b16bec4a084f1090,AWAITING REVIEW,2021-03-13 17:24:29.425000,2021-03-13 17:32:31.079000,481.654,21,24,0,100,,866C1F68,Portugal,Portugal,None,Other,,"Portuguese, English",Portugal,Male,Yes
604cf54eb925ce37baa9aba5,5e5ecdecaf4e8a0985100df1,AWAITING REVIEW,2021-03-13 17:24:30.051000,2021-03-13 17:31:47.264000,437.213,27,66,0,100,,866C1F68,Greece,Greece,None,Full-Time,Greek,"English, Greek, French",Greece,Male,No
