user_id,condnum,iso_time,prolific_id,gender,age,nationality,education,experience,eating_habits,goal,restrictions
58487602728,3,2021-03-13T17:19:53.690Z,5892318a046bbb0001a52f3d,male,32,French,4,cmedium,neutral,"[""protein"",""vegetables"",""Lose fat""]","[""none""]"
211701488051,3,2021-03-13T17:20:35.568Z,5af4f14f86fd9c0001664a21,male,30,Mexican,3,cmedium,neutral,"[""none""]","[""none""]"
798337383495,3,2021-03-13T17:20:47.611Z,60363bdf512cae5da90bc695,female,20,English,3,cmedium,healthy,"[""protein"",""lweight""]","[""none""]"
398168009362,3,2021-03-13T17:20:38.149Z,5f8ef5cf036fa50c4aba6a615f8ef5cf036fa50c4aba6a61,female,31,Polish,4,clow,neutral,"[""lweight"",""eat less sugar""]","[""none""]"
1502105134485,3,2021-03-13T17:21:03.281Z,5e3d775997fe04000b4c65f8,male,22,Portuguese,2,clow,healthy,"[""none""]","[""none""]"
288372222888,3,2021-03-13T17:21:16.913Z,5e5ba15d2bd7a6371984f400,female,26,Portuguese,4,cmedium,neutral,"[""none""]","[""none""]"
1164708065233,3,2021-03-13T17:21:00.493Z,5ca333ab8001d50001c68a29,female,22,Portuguese,2,chigh,healthy,"[""salt"",""fruit"",""vegetables""]","[""none""]"
30238281643,3,2021-03-13T17:20:56.662Z,5c37be1aa9872700014c6c80,male,32,Danish,2,clow,healthy,"[""none""]","[""none""]"
764267965210,3,2021-03-13T17:21:00.029Z,5fd8d7e42ce9082dd7998e6d,male,23,Portuguese,2,cmedium,unhealthy,"[""gweight"",""none""]","[""none""]"
928884443096,3,2021-03-13T17:21:23.684Z,5ddeefcd1228d9e622e46442,female,21,Portuguese,2,chigh,neutral,"[""none""]","[""none""]"
620770308516,3,2021-03-13T17:21:37.175Z,5cdd82dba147210019aefd6e,female,36,Portuguese,4,cmedium,neutral,"[""none""]",[]
408267260196,3,2021-03-13T17:19:41.526Z,601b1876d8db9349107ad10c,female,19,Spanish ,2,clow,neutral,"[""fruit"",""vegetables"",""lweight""]","[""none""]"
833387827963,3,2021-03-13T17:22:03.794Z,5fd94d3d2ce90843fcb81f36,male,36,Irish,3,cmedium,neutral,"[""lweight""]","[""none""]"
1383708144190,3,2021-03-13T17:22:18.529Z,60465c0f857ebd000a4c95b6,male,20,Portuguese,2,cmedium,healthy,"[""protein"",""gweight""]","[""none""]"
1025398012680,3,2021-03-13T17:22:12.999Z,59eb8c106100f9000194aa47,female,24,Italy,4,cmedium,healthy,"[""lweight""]","[""none""]"
1357562898091,3,2021-03-13T17:22:18.828Z,5fd367199ff02b029312d60e,male,22,Greek,2,clow,neutral,"[""lweight""]","[""none""]"
610734241300,3,2021-03-13T17:23:17.766Z,5dc67a3384116a4b24fdfc39,male,36,Polish,3,cmedium,neutral,"[""fruit"",""vegetables""]","[""none""]"
229971989655,3,2021-03-13T17:22:01.288Z,5fe85d683cc53c71223cb1e7,male,18,slovenian,1,cverylow,vunhealthy,"[""protein"",""salt"",""fruit"",""vegetables"",""lweight""]","[""none""]"
1064133208406,3,2021-03-13T17:22:30.988Z,5f035e7905e44454f588a218,male,19,Portuguese,2,clow,healthy,"[""salt"",""vegetables""]","[""none""]"
1566259835096,3,2021-03-13T17:22:20.068Z,5fb13b4905eae9155b4d62df,female,18,african ,2,cmedium,unhealthy,"[""lweight""]","[""none""]"
180004225304,3,2021-03-13T17:22:42.607Z,5ac9c4415cd1050001626162,male,31,Mexican,3,clow,healthy,"[""fruit"",""vegetables"",""lweight""]","[""none""]"
