session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Diet Restriction,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
604cb9452c486a2cbb380b92,5cfe358e6c279f000145ef6b,AWAITING REVIEW,2021-03-13 13:08:46.838000,2021-03-13 13:21:36.850000,770.012,26,103,0,100,,5F069648,Portugal,Portugal,Dairy/lactose-free,Full-Time,Portuguese,"Portuguese, English",Portugal,Female,Yes
604cb955bfa6b350094f0e85,5dcc108c6eab9a8ab9e4f24b,AWAITING REVIEW,2021-03-13 13:10:56.967000,2021-03-13 13:15:15.191000,258.224,19,158,3,99,,5F069648,United Kingdom,United Kingdom,None,Other,Polish,"Polish, English",Poland,Female,Yes
604cb95614d6d428235e6a60,5c546bd6114ab80001e4ce4e,AWAITING REVIEW,2021-03-13 13:08:42.349000,2021-03-13 13:14:51.181000,368.832,25,39,0,100,,5F069648,Argentina,Spain,None,Unemployed (and job seeking),Spanish,"Catalan, Spanish, English",Argentina,Male,Yes
604cb9583d3f76ab73edd340,5ee21ce86f109128f21de798,AWAITING REVIEW,2021-03-13 13:08:45.547000,2021-03-13 13:14:46.871000,361.324,44,78,0,100,,5F069648,United Kingdom,United Kingdom,None,Full-Time,English,English,United Kingdom,Female,No
604cb964b7a807b279a9bbdb,5bb5896d56161d0001ff93b4,AWAITING REVIEW,2021-03-13 13:09:12.837000,2021-03-13 13:14:31.212000,318.375,28,362,2,100,,5F069648,United Kingdom,United Kingdom,None,Unemployed (and job seeking),English,English,United Kingdom,Male,No
604cb9661dcd054bbebafe25,5eb2ca08d5295e0625aea35f,AWAITING REVIEW,2021-03-13 13:08:54.760000,2021-03-13 13:15:17.004000,382.244,19,62,1,100,,5F069648,Brazil,Portugal,None,Unemployed (and job seeking),Portuguese,"English, Portuguese",Portugal,Male,Yes
604cb9678e097e3f53c0eb4c,5eeaa1fae89d1a15f115d9cd,AWAITING REVIEW,2021-03-13 13:08:59.556000,2021-03-13 13:14:46.806000,347.25,34,35,0,100,,5F069648,Ireland,Ireland,None,Full-Time,English,English,Ireland,Female,No
604cb96d233bd96e6ddde92f,5f8afc0dd9375a1cc895ebe2,AWAITING REVIEW,2021-03-13 13:09:03.864000,2021-03-13 13:15:46.018000,402.154,20,9,0,100,,5F069648,Poland,Poland,None,Due to start a new job within the next month,,"Polish, English, German",Poland,Male,Yes
604cb96d57644c0152778fff,5f63c2633e1d92113b2cbcbc,AWAITING REVIEW,2021-03-13 13:09:01.471000,2021-03-13 13:13:52.711000,291.24,19,40,0,100,,5F069648,Poland,Poland,None,Full-Time,,"English, Polish",Poland,Male,Yes
604cb9712dfb269a915dd251,5ff27e3fad6c6d2a2f9a6011,AWAITING REVIEW,2021-03-13 13:09:05.516000,2021-03-13 13:17:13.938000,488.422,30,25,0,100,,5F069648,Greece,Greece,None,Full-Time,DATA EXPIRED,"Greek, English",Greece,Male,No
604cb9749261a724252ff0c1,5d53cd1dfdcbd800013623f4,AWAITING REVIEW,2021-03-13 13:09:14.253000,2021-03-13 13:14:00.082000,285.829,35,285,2,100,,5F069648,United Kingdom,United Kingdom,None,Full-Time,English,English,United Kingdom,Female,No
604cb974a41819e552f5dac9,5db6fa3b20430d000d2eb752,AWAITING REVIEW,2021-03-13 13:12:58.273000,2021-03-13 13:18:59.013000,360.74,20,80,1,100,,5F069648,United Kingdom,United Kingdom,None,Other,English,English,United Kingdom,Female,Yes
604cb9754ed4fa078002a7b9,5e7bb30e3f9fe31d223a0f04,AWAITING REVIEW,2021-03-13 13:09:09.171000,2021-03-13 13:21:41.718000,752.547,40,177,1,100,,5F069648,Portugal,Switzerland,None,Full-Time,Portuguese,"English, Portuguese, Spanish, German",Portugal,Female,No
604cb97aadc1afaace38996a,5feb9aa17b84d37c082ab8e9,AWAITING REVIEW,2021-03-13 13:09:20.238000,2021-03-13 13:15:31.247000,371.009,28,43,0,100,,5F069648,Finland,,None,Full-Time,,"English, Finnish",Finland,Female,No
604cb97b4ed4fa078002a7bb,5eecdb04f8a7e20a03a553dc,AWAITING REVIEW,2021-03-13 13:09:14.971000,2021-03-13 13:17:03.806000,468.835,33,70,0,100,,5F069648,Denmark,Denmark,None,"Not in paid work (e.g. homemaker', 'retired or disabled)",Danish,"Danish, English",Denmark,Female,Yes
604cb97b819cd7f504a74b9e,5f1ae2b86f01b9251919d988,AWAITING REVIEW,2021-03-13 13:09:17.462000,2021-03-13 13:13:25.270000,247.808,22,133,0,100,,5F069648,United Kingdom,United Kingdom,Vegetarian,Full-Time,English,English,United Kingdom,Female,No
604cb97ca72cb577df21629b,5fb2c7ad07dd8e94a69062ce,AWAITING REVIEW,2021-03-13 13:09:16.767000,2021-03-13 13:18:19.879000,543.112,20,8,0,100,,5F069648,Poland,Poland,Vegetarian,Unemployed (and job seeking),DATA EXPIRED,"Polish, English",Poland,Female,Yes
604cb97d2b104ca0ee447315,5e62e37f639d1f0852f5ed33,AWAITING REVIEW,2021-03-13 13:09:17.780000,2021-03-13 13:16:38.290000,440.51,24,110,2,97,,5F069648,Italy,Italy,Other dietary restriction,Part-Time,Italian,"English, Italian",Italy,Female,Yes
604cb9811343c7e2a4ff0492,5f577cc710fc57212ddfdfe2,AWAITING REVIEW,2021-03-13 13:09:21.269000,2021-03-13 13:13:30.929000,249.66,21,72,5,96,,5F069648,Poland,Poland,None,Full-Time,DATA EXPIRED,"English, German",Poland,Male,Yes
604cb981b7a807b279a9bbdc,5f34d671952faa402de77cdc,RETURNED,2021-03-13 13:09:24.647000,,2791.072794,22,36,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604cb983e53fbb7b0b801421,5eae99103043c65725300d5c,AWAITING REVIEW,2021-03-13 13:09:28.282000,2021-03-13 13:13:59.830000,271.548,32,57,0,100,,5F069648,Denmark,Denmark,None,Part-Time,Danish,"Danish, English",Denmark,Male,No
604cb985b8407842fd2eeb67,5ec3dd4a21dd590667039a02,AWAITING REVIEW,2021-03-13 13:09:25.621000,2021-03-13 13:17:03.781000,458.16,24,62,0,100,,5F069648,Belgium,Belgium,None,Part-Time,Dutch,"English, Dutch, French",Belgium,Male,No
604cb9898e097e3f53c0eb4e,600c8e0d09b0ad00081828d4,AWAITING REVIEW,2021-03-13 13:09:29.826000,2021-03-13 13:15:41.179000,371.353,18,14,0,100,,5F069648,Slovenia,,None,Other,,"English, Slovenian, Serbian, Croatian",Slovenia,Male,Yes
604cb98e64f1ee4cf2f896a4,5f290bac2947302bb48c4f0a,AWAITING REVIEW,2021-03-13 13:09:34.454000,2021-03-13 13:15:09.628000,335.174,23,89,0,100,,5F069648,Poland,Poland,None,Unemployed (and job seeking),Polish,"English, Polish",Poland,Male,Yes
604cb98e6f899c6caeda9cbe,602135eef883e8090314dd94,AWAITING REVIEW,2021-03-13 13:09:36.632000,2021-03-13 13:14:44.003000,307.371,19,1,0,100,,5F069648,Portugal,,None,Full-Time,,"English, Portuguese",Portugal,Male,Yes
604cb9935560a5019721bc76,5e8a03c98707ab000b65f3bb,AWAITING REVIEW,2021-03-13 13:09:53.291000,2021-03-13 13:17:51.288000,477.997,28,107,0,100,,5F069648,Italy,Italy,None,Full-Time,Italian,"Italian, English, French",Italy,Female,Yes
604cb99b376f509697083db2,5d77168efa583b001a6d946c,AWAITING REVIEW,2021-03-13 13:09:50.399000,2021-03-13 13:16:04.050000,373.651,25,78,3,98,,5F069648,Greece,Greece,None,Full-Time,Greek,"English, German, Greek",Greece,Male,No
604cb99b436628971668112f,6043a2ee30e44b38159fde2a,AWAITING REVIEW,2021-03-13 13:16:45.385000,2021-03-13 13:31:41.319000,895.934,29,0,0,100,,5F069648,Greece,Greece,None,Full-Time,,"French, Greek, English",Greece,Female,No
604cb9a04ed4fa078002a7bd,5a4bb2a49f5e570001e8372f,AWAITING REVIEW,2021-03-13 13:09:57.861000,2021-03-13 13:16:04.046000,366.185,37,256,4,98,,5F069648,Lithuania,United Kingdom,None,"Not in paid work (e.g. homemaker', 'retired or disabled)",Lithuanian,"Lithuanian, Russian, English, Polish",Lithuania,Female,No
604cb9a1cef939a2076991ae,5ee8f4c727097011a9d929cc,AWAITING REVIEW,2021-03-13 13:10:24.246000,2021-03-13 13:18:51.393000,507.147,21,54,0,100,,5F069648,Poland,Poland,None,Full-Time,Polish,"English, German, Polish",Poland,Female,No
604cb9af4cc16fa3c146e436,5e8f286048446a0328fdc5e5,AWAITING REVIEW,2021-03-13 13:10:13.126000,2021-03-13 13:21:31.228000,678.102,28,47,0,100,,5F069648,Australia,Australia,Vegan,Full-Time,DATA EXPIRED,,Australia,Female,DATA EXPIRED
604cba367c7494e117a53970,5f58cfb86d42ed0663662968,AWAITING REVIEW,2021-03-13 13:12:22.806000,2021-03-13 13:15:30.170000,187.364,18,70,1,100,,5F069648,Poland,Poland,None,Unemployed (and job seeking),DATA EXPIRED,"English, Polish",Poland,Male,Yes
604cbad2507ba865168517d3,5e9eef4948a31e03b47334a6,AWAITING REVIEW,2021-03-13 13:14:58.039000,2021-03-13 13:18:28.733000,210.694,25,65,0,100,,5F069648,Bosnia and Herzegovina,Austria,None,Unemployed (and job seeking),Serbian,"German, English, Serbian",Bosnia and Herzegovina,Male,Yes
604cbc5e6a2b306cf978dce3,5f72f57a140ff101107d5d23,RETURNED,2021-03-13 13:21:34.709000,,2061.62269,19,47,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604cbec8a0ace49964ddc5cf,5ba52511fe3a1d0001e63d97,AWAITING REVIEW,2021-03-13 13:31:54.622000,2021-03-13 13:37:22.612000,327.99,48,105,1,100,,5F069648,United Kingdom,United Kingdom,None,Full-Time,English,English,United Kingdom,Female,No
